"A","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","D"
1,-0.661943368079013,-1.49764914686174,0.866845204814637,0.192187241534092,1.1219412948214,-0.408249455640748,0.129132689020198,-0.0647815597345552,0.21303721884017,1.07049660497361,-0.107783769378292,-1.0082935397722,1.30200110954446,1.39843885487702,-0.181983011745656,-0.839523888097068,1.82427575429086,0.0296275614488372,0.694470465728346,1.50904497476118,1
1,0.0880169208120087,0.278778216265571,0.499413304085487,-2.07507739287984,0.417835014191042,0.356803177519814,0.782166016461944,-0.721534954379679,0.692846932589635,-0.912214322273503,0.881217120914558,0.790360549730257,2.21453613270043,-0.351902678364913,-1.28716862080706,-0.709078138106376,-0.131594307132414,0.136063271489905,1.36949705647235,-0.0762632933986205,0
0,1.03499161877534,-1.45066724979573,-0.439365825070637,-0.584847204218598,-1.02209254749204,-0.056572717208655,-0.770503601831027,0.559987508144482,-0.575721335490654,-0.973335545288551,-0.0381212946811898,-0.843081712971146,1.36734569813648,-1.32548150883298,-0.492230135796832,-1.34925341176888,0.207034094298596,0.580723822492903,-0.157773331636438,1.04737390753497,0
0,1.36699696591418,1.49529085085213,2.1778146636149,1.62057045337201,0.652887565885597,0.674420277472706,2.13120644637602,-0.672586220763378,1.62927045556011,0.163253235891665,1.21910806724368,1.06345881615852,1.36112455431515,2.46987054602701,2.28704047158591,1.57303767136073,1.13373885641288,0.424730949182367,0.353947493727252,0.451202450481957,1
0,-0.372766033437545,0.122755174483475,1.59553753255727,-0.0428684481121749,0.0994112721004947,-0.925578903875764,-1.08459869188455,1.16761012980185,-0.321761068622029,0.0442671149596814,-0.0752629169154657,0.652383417266907,-0.50658030271714,-0.00160156206288922,-1.15072266752291,-0.13976266784709,0.723081807251269,-0.94172473714726,1.78191565902643,0.93770888087999,0
1,-0.0825359159170085,0.983733225103546,-1.1912603417856,-0.70228807246241,1.5108345426144,0.0228466844979466,-0.903560247541267,-0.582683113884705,-0.186671141111377,-1.06609808412596,1.00665047861714,-1.37365844531981,0.442140441199406,-0.261378071580723,-0.446860110133235,-1.01883941020673,-1.40386583031587,-1.64608782576008,-0.740814343634237,2.3075127379517,0
0,0.3262257571883,1.73874189584505,-0.294847166558396,0.0872471969759376,0.611412063801755,-0.586088805659335,1.15670023744753,0.486143598445994,0.119410460774842,1.29220379303301,-1.70945120370393,1.33332790552404,-0.691056707445476,-1.29043612545618,-0.503194368195498,0.371420911085226,-0.672159492620428,-0.360894722055438,1.1200321929124,0.415618407035221,0
0,-1.45072637090033,0.0430324379429999,-1.06940503005284,-1.63037475399636,1.08487141910465,0.121760300653824,-0.466965576681632,0.707818960566482,0.794907257901227,0.546087057062716,0.633769656107085,0.110521409927891,-0.00954135584036383,1.34977136625652,0.289125110761512,-1.4786278756162,0.153672128195409,0.461614979665234,-0.900957897453613,0.0808912894125966,0
0,0.31910359777353,1.52293913341978,-0.511769991686585,0.196841603322871,-0.113981670701177,0.956672230626924,-0.939397152689092,0.221159638128534,1.81715860202645,0.871479076160264,-0.638997138270208,-1.45613995968439,2.00396241305179,-0.0209477806021778,-0.734092507878864,0.78107907582898,-0.906374802688503,-0.450586637008558,0.446855340022448,0.954717910417144,0
1,-0.0415378758178364,-1.39217247658183,1.20680053854264,-0.324162375979598,0.409956895815719,-1.03859706655182,-1.08425679570237,-0.13123845564317,-0.95008903283073,-1.03655673595342,-1.26742938470581,-0.162757482438085,0.57041208339059,-0.0724277338426904,-1.08138339312263,-1.55902540333861,0.889668376399947,-0.376600185439452,-0.14239126889695,-2.07927953751774,0
